,agent1,agent2,agent3,agent4,,,agent1,agent2,agent3,agent4,,,agent1,agent2,agent3,agent4,,,agent1,agent2,agent3,agent4,,,agent1,agent2,agent3,agent4,,,agent2,agent3
agent1,0,-29,46,76,,agent1,0,-16,34,43,,agent1,0,-27,44,64,,agent1,0,-54,32,33,,agent1,0,-31,56,87,,agent2,0,18
agent2,-21,0,78,48,,agent2,-13,0,37,39,,agent2,-23,0,71,56,,agent2,-34,0,23,56,,agent2,-23,0,89,67,,agent3,17,0
agent3,49,67,0,-31,,agent3,34,34,0,-53,,agent3,57,73,0,-45,,agent3,47,43,0,-23,,agent3,46,89,0,-21,,wooden wall 3 4,,18
agent4,63,47,-25,0,,agent4,45,24,-45,0,,agent4,65,54,-37,0,,agent4,78,54,-12,0,,agent4,67,36,-29,0,,wooden wall 4 3,,14
wooden wall 0 2,23,,,,,wooden wall 1 5,24,35,,,,wooden wall 1 5,18,14,,,,wooden wall 1 5,12,,,,,wooden wall 2 4,18,,,,,wooden wall 4 5,,17
wooden wall 1 4,21,,,,,wooden wall 2 4,,,,,,wooden wall 2 4,28,,,,,wooden wall 2 4,13,,,,,wooden wall 3 4,,,,,,wooden wall 4 6,13,
wooden wall 1 5,,,,,,wooden wall 2 10,,12,,,,wooden wall 3 4,,,,,,wooden wall 3 4,,,,,,wooden wall 4 2,19,,,29,,wooden wall 6 4,,
wooden wall 1 6,,31,,,,wooden wall 3 4,,,,,,wooden wall 4 2,,,,,,wooden wall 4 2,23,,,,,wooden wall 4 3,,,,27,,bomb,-99,-99
wooden wall 1 10,,18,,,,wooden wall 4 1,13,,,,,wooden wall 4 3,,,,,,wooden wall 4 3,,,,,,wooden wall 4 5,,,,,,,,
wooden wall 2 0,37,,,,,wooden wall 4 2,,,,,,wooden wall 4 5,,,,,,wooden wall 4 5,,,,,,wooden wall 4 6,,25,,,,,,
wooden wall 2 4,,,,,,wooden wall 4 3,,,,,,wooden wall 4 6,,,,,,wooden wall 4 6,,,23,,,wooden wall 4 10,,28,,,,,,
wooden wall 2 7,,34,,,,wooden wall 4 5,,,,,,wooden wall 4 9,,,,,,wooden wall 4 10,,,,,,wooden wall 5 4,,,,31,,,,
wooden wall 2 10,,31,,,,wooden wall 4 6,,27,,,,wooden wall 4 10,,,,,,wooden wall 5 1,32,,,,,wooden wall 6 4,,,,23,,,,
